ID,Epic,Title,Priority,Sprint,Points,Dependencies,Acceptance criteria
FOUND-001,Foundations,Create pnpm TypeScript monorepo,P0,0,3,,"Web worker and shared packages build from one command"
FOUND-002,Foundations,Configure strict TypeScript lint and formatting,P0,0,2,FOUND-001,"CI rejects lint type and format errors"
FOUND-003,Foundations,Create GitHub CI workflow,P0,0,3,FOUND-001,"Every PR runs build unit integration and migration checks"
FOUND-004,Foundations,Define environment validation and secret boundaries,P0,0,3,FOUND-001,"Startup fails clearly when required server variables are absent"
FOUND-005,Foundations,Write architecture decision records 001-008,P0,0,3,,"Every structural choice has context decision and consequences"
FOUND-006,Foundations,Create local Supabase/PostgreSQL environment,P0,0,3,FOUND-001,"A new developer starts the local stack from documented commands"
DATA-001,Procurement,Request licensed BVC data quotations,P0,0,5,,"Quotes explicitly cover automation storage calculations and user display"
DATA-002,Procurement,Verify MASI Total Return availability and rights,P0,0,3,,"Written source and permitted usage are recorded or feature is marked unavailable"
LEGAL-001,Compliance,Map CNDP and cross-border hosting requirements,P0,0,5,,"Counsel records required declaration or authorization path before production"
LEGAL-002,Compliance,Draft provisional financial-information disclaimer,P0,7,3,LEGAL-001,"FR and AR text distinguishes information from personalized advice"
TEST-001,Financial QA,Create independent golden calculation workbook,P0,0,5,,"Expected ledger positions TWR XIRR fees taxes and dividends are signed off"
DB-001,Database,Create initial database schemas and migrations,P0,0,5,FOUND-006,"Fresh and upgrade migration tests pass"
DB-002,Database,Implement private role helper without recursive RLS,P0,1,3,DB-001,"Role lookup passes recursion and privilege tests"
DB-003,Database,Implement RLS ownership policies,P0,1,5,DB-002,"User A cannot read or mutate User B resources using guessed UUIDs"
DB-004,Database,Implement append-only audit event controls,P0,2,5,DB-001,"Application roles cannot update or delete audit events"
AUTH-001,Identity,Implement registration login logout and recovery,P0,1,5,DB-003,"FR and AR flows succeed and error states are translated"
AUTH-002,Identity,Create user profile and locale settings,P0,1,3,AUTH-001,"Locale persists and AR sets document RTL"
AUTH-003,Identity,Implement server-side authorization DAL,P0,1,5,AUTH-001,"Every protected mutation checks session ownership and role"
PORT-001,Portfolio,Create rename archive portfolio,P0,1,5,AUTH-003,"Owner can manage own portfolio only and archive preserves history"
ENGINE-001,Financial Engine,Implement decimal money and quantity types,P0,1,3,FOUND-001,"No financial path uses binary floating point for stored amounts"
ENGINE-002,Financial Engine,Implement cash ledger for deposits and withdrawals,P0,1,5,ENGINE-001,"Golden deposits withdrawals and balances match exactly"
ENGINE-003,Financial Engine,Implement buy and weighted average cost,P0,1,8,ENGINE-002,"Quantity cash cost basis fees and taxes match golden fixtures"
TX-001,Transactions,Create transaction command with idempotency,P0,1,5,PORT-001|ENGINE-003,"Duplicate idempotency key produces one financial effect"
TX-002,Transactions,Build deposit and buy entry forms,P0,1,5,TX-001,"Valid transaction is confirmed and invalid input is explained in FR and AR"
SNAP-001,Valuation,Create first portfolio snapshot job,P0,1,5,TX-001,"Job is repeatable and produces one current version per valuation date"
UI-001,Dashboard,Show total cash securities value and unrealized gain,P0,1,5,SNAP-001,"Dashboard matches golden fixture and identifies valuation date"
E2E-001,Quality,Test first vertical slice across two users,P0,1,5,UI-001|DB-003,"Register deposit buy price snapshot and isolation pass in browser test"
ENGINE-004,Financial Engine,Implement partial sale and realized gain,P0,2,8,ENGINE-003,"Remaining cost basis and realized gain match golden fixtures"
ENGINE-005,Financial Engine,Implement dividends as cash income,P0,2,5,ENGINE-002,"Dividend changes cash and income but never quantity"
ENGINE-006,Financial Engine,Implement independent fees and taxes,P0,2,3,ENGINE-002,"Each fee and tax affects cash and performance exactly once"
ENGINE-007,Financial Engine,Implement reversal and version rules,P0,2,8,ENGINE-003|DB-004,"Reversal preserves original entry and creates an audited counter-effect"
TX-003,Transactions,Build sale dividend fee tax forms,P0,2,8,ENGINE-004|ENGINE-005|ENGINE-006,"All transaction types validate and produce expected ledger effects"
TX-004,Transactions,Build transaction history and audit detail,P0,2,5,TX-003,"User sees versions reversals dates values and explanatory status"
ENGINE-008,Financial Engine,Enforce negative-cash rule,P0,2,3,ENGINE-002,"Unauthorized negative balance is rejected atomically"
PERF-001,Performance,Build daily valuation series,P0,3,8,SNAP-001,"Every valid market day has reproducible cash securities and total values"
PERF-002,Performance,Implement daily TWR convention,P0,3,8,PERF-001|TEST-001,"External flows before close and segment breaks match reference"
PERF-003,Performance,Implement XIRR solver and failure states,P0,3,8,PERF-001|TEST-001,"Valid cases converge within tolerance and invalid cases explain non-calculability"
PERF-004,Performance,Implement performance decomposition,P0,3,5,PERF-002,"Price gains dividends fees taxes and external flows reconcile to totals"
PERF-005,Performance,Implement period filters,P0,3,5,PERF-002,"1M 3M YTD 1Y 3Y 5Y and available periods share aligned dates"
